11111: ----- -
33313: 13312 5
33314: 13313 5
33315: 32115 2
33321: 31311 4
33322: 32122 2
33323: 33221 3
33324: 33222 3
33325: 32125 2
33331: 13335 5
33332: 31322 4
33333: 32133 2
33334: 13333 5
33335: 23315 1
33341: 33244 3
33342: 23322 1
33343: 23323 1
33344: 13343 5
33345: 13344 5
33351: 23331 1
33352: 33255 3
33353: 23333 1
33354: 31344 4
33355: 33253 3
33411: 23441 1
33412: 13411 5
33413: 23443 1
33414: 23444 1
33415: 31455 4
33421: 13425 5
33422: 31412 4
33423: 33321 3
33424: 23454 1
33425: 31415 4
33431: 23411 1
33432: 13431 5
33433: 13432 5
33434: 13433 5
33435: 31425 4
33441: 33344 3
33442: 32242 2
33443: 13442 5
33444: 23424 1
33445: 13444 5
33451: 13455 5
33452: 31442 4
33453: 31443 4
33454: 13453 5
33455: 23435 1
33511: 31551 4
33512: 23542 1
33513: 31553 4
33514: 23544 1
33515: 23545 1
33521: 31511 4
33522: 33425 3
33523: 33421 3
33524: 13523 5
33525: 31515 4
33531: 33434 3
33532: 33435 3
33533: 32333 2
33534: 32334 2
33535: 33433 3
33541: 32341 2
33542: 32342 2
33543: 13542 5
33544: 13543 5
33545: 33443 3
33551: 32351 2
33552: 13551 5
33553: 33451 3
33554: 13553 5
33555: 33453 3
34111: 24141 1
34112: 14111 5
34113: 14112 5
34114: 34512 3
34115: 24145 1
34121: 24151 1
34122: 14121 5
34123: 32113 4
34124: 24154 1
34125: 32115 4
34131: 34534 3
34132: 32122 4
34133: 33433 2
34134: 24114 1
34135: 32125 4
34141: 14145 5
34142: 24122 1
34143: 32133 4
34144: 14143 5
34145: 32135 4
34151: 33451 2
34152: 14151 5
34153: 24133 1
34154: 14153 5
34155: 14154 5
34211: 33511 2
34212: 32252 4
34213: 32253 4
34214: 34112 3
34215: 34113 3
34221: 32211 4
34222: 14221 5
34223: 24253 1
34224: 14223 5
34225: 14224 5
34231: 14235 5
34232: 24212 1
34233: 32223 4
34234: 33534 2
34235: 32225 4
34241: 34144 3
34242: 14241 5
34243: 33543 2
34244: 14243 5
34245: 34143 3
34251: 33551 2
34252: 32242 4
34253: 32243 4
34254: 34152 3
34255: 14254 5
34311: 14315 5
34312: 14311 5
34313: 33113 2
34314: 33114 2
34315: 24345 1
34321: 34224 3
34322: 24352 1
34323: 24353 1
34324: 14323 5
34325: 14324 5
34331: 32321 4
34332: 33132 2
34333: 24313 1
34334: 14333 5
34335: 24315 1
34341: 24321 1
34342: 14341 5
34343: 32333 4
34344: 34242 3
34345: 34243 3
34351: 14355 5
34352: 33152 2
34353: 34251 3
34354: 34252 3
34355: 34253 3
34411: 32451 4
34412: 14411 5
34413: 32453 4
34414: 24444 1
34415: 14414 5
34421: 34324 3
34422: 33222 2
34423: 32413 4
34424: 24454 1
34425: 32415 4
34431: 14435 5
34432: 14431 5
34433: 32423 4
34434: 14433 5
34435: 24415 1
34441: 32431 4
34442: 24422 1
34443: 14442 5
34444: 34342 3
34445: 32435 4
34451: 14455 5
34452: 32442 4
34453: 34351 3
34454: 24434 1
34455: 32445 4
34511: 34414 3
34512: 34415 3
34513: 33313 2
34514: 33314 2
34515: 14514 5
34521: 33321 2
34522: 24552 1
34523: 32513 4
34524: 32514 4
34525: 14524 5
34531: 33331 2
34532: 14531 5
34533: 34431 3
34534: 34432 3
34535: 14534 5
34541: 14545 5
34542: 24522 1
34543: 14542 5
34544: 33344 2
34545: 33345 2
34551: 33351 2
34552: 14551 5
34553: 34451 3
34554: 33354 2
34555: 32545 4
35111: 33151 4
35112: 35515 3
35113: 35511 3
35114: 25144 1
35115: 15114 5
35121: 33111 4
35122: 25152 1
35123: 33113 4
35124: 15123 5
35125: 33115 4
35131: 34431 2
35132: 15131 5
35133: 35531 3
35134: 15133 5
35135: 15134 5
35141: 25121 1
35142: 33132 4
35143: 33133 4
35144: 33134 4
35145: 35543 3
35151: 25131 1
35152: 15151 5
35153: 33143 4
35154: 25134 1
35155: 15154 5
35211: 15215 5
35212: 35115 3
35213: 33253 4
35214: 15213 5
35215: 25245 1
35221: 35124 3
35222: 15221 5
35223: 34523 2
35224: 33214 4
35225: 34525 2
35231: 33221 4
35232: 34532 2
35233: 15232 5
35234: 35132 3
35235: 35133 3
35241: 34541 2
35242: 15241 5
35243: 33233 4
35244: 35142 3
35245: 35143 3
35251: 33241 4
35252: 35155 3
35253: 15252 5
35254: 15253 5
35255: 15254 5
35311: 35214 3
35312: 34112 2
35313: 34113 2
35314: 15313 5
35315: 35213 3
35321: 25351 1
35322: 15321 5
35323: 33313 4
35324: 33314 4
35325: 15324 5
35331: 33321 4
35332: 34132 2
35333: 25313 1
35334: 33324 4
35335: 35233 3
35341: 33331 4
35342: 15341 5
35343: 34143 2
35344: 34144 2
35345: 35243 3
35351: 35254 3
35352: 34152 2
35353: 15352 5
35354: 35252 3
35355: 34155 2
35411: 33451 4
35412: 15411 5
35413: 33453 4
35414: 33454 4
35415: 15414 5
35421: 15425 5
35422: 25452 1
35423: 15422 5
35424: 35322 3
35425: 15424 5
35431: 33421 4
35432: 15431 5
35433: 25413 1
35434: 25414 1
35435: 33425 4
35441: 33431 4
35442: 25422 1
35443: 33433 4
35444: 33434 4
35445: 15444 5
35451: 35354 3
35452: 25432 1
35453: 33443 4
35454: 33444 4
35455: 33445 4
35511: 34311 2
35512: 34312 2
35513: 15512 5
35514: 35412 3
35515: 15514 5
35521: 33511 4
35522: 35425 3
35523: 35421 3
35524: 34324 2
35525: 35423 3
35531: 15535 5
35532: 35435 3
35533: 35431 3
35534: 34334 2
35535: 15534 5
35541: 15545 5
35542: 34342 2
35543: 15542 5
35544: 25524 1
35545: 25525 1
35551: 34351 2
35552: 25532 1
35553: 33543 4
35554: 33544 4
35555: 35453 3
41111: 45411 2
41112: 44152 4
41113: 41511 3
41114: 41512 3
41115: 21114 5
41121: 21125 5
41122: 44112 4
41123: 45423 2
41124: 31154 1
41125: 21124 5
41131: 44121 4
41132: 31112 1
41133: 21132 5
41134: 41532 3
41135: 41533 3
41141: 45441 2
41142: 31122 1
41143: 21142 5
41144: 44134 4
41145: 21144 5
41151: 21155 5
41152: 44142 4
41153: 41551 3
41154: 21153 5
41155: 31135 1
41211: 31241 1
41212: 41115 3
41213: 31243 1
41214: 44254 4
41215: 21214 5
41221: 44211 4
41222: 41125 3
41223: 41121 3
41224: 41122 3
41225: 44215 4
41231: 41134 3
41232: 44222 4
41233: 45533 2
41234: 44224 4
41235: 41133 3
41241: 21245 5
41242: 44232 4
41243: 21242 5
41244: 44234 4
41245: 41143 3
41251: 31231 1
41252: 21251 5
41253: 41151 3
41254: 31234 1
41255: 31235 1
41311: 21315 5
41312: 41215 3
41313: 45113 2
41314: 44354 4
41315: 45115 2
41321: 41224 3
41322: 45122 2
41323: 31353 1
41324: 44314 4
41325: 44315 4
41331: 31311 1
41332: 44322 4
41333: 41231 3
41334: 31314 1
41335: 45135 2
41341: 41244 3
41342: 44332 4
41343: 41241 3
41344: 21343 5
41345: 45145 2
41351: 21355 5
41352: 21351 5
41353: 45153 2
41354: 41252 3
41355: 21354 5
41411: 31441 1
41412: 31442 1
41413: 21412 5
41414: 21413 5
41415: 44455 4
41421: 21425 5
41422: 21421 5
41423: 45223 2
41424: 44414 4
41425: 31455 1
41431: 21435 5
41432: 31412 1
41433: 21432 5
41434: 41332 3
41435: 31415 1
41441: 44431 4
41442: 21441 5
41443: 31423 1
41444: 44434 4
41445: 41343 3
41451: 44441 4
41452: 41355 3
41453: 21452 5
41454: 44444 4
41455: 44445 4
41511: 41414 3
41512: 45312 2
41513: 21512 5
41514: 21513 5
41515: 41413 3
41521: 45321 2
41522: 45322 2
41523: 41421 3
41524: 41422 3
41525: 45325 2
41531: 21535 5
41532: 21531 5
41533: 41431 3
41534: 21533 5
41535: 31515 1
41541: 31521 1
41542: 41445 3
41543: 41441 3
41544: 41442 3
41545: 44535 4
41551: 21555 5
41552: 45352 2
41553: 31533 1
41554: 44544 4
41555: 41453 3
42111: 32141 1
42112: 41412 2
42113: 32143 1
42114: 41414 2
42115: 45155 4
42121: 41421 2
42122: 41422 2
42123: 22122 5
42124: 45114 4
42125: 45115 4
42131: 22135 5
42132: 45122 4
42133: 45123 4
42134: 22133 5
42135: 32115 1
42141: 32121 1
42142: 45132 4
42143: 22142 5
42144: 32124 1
42145: 45135 4
42151: 22155 5
42152: 45142 4
42153: 41453 2
42154: 42552 3
42155: 45145 4
42211: 32241 1
42212: 45252 4
42213: 41513 2
42214: 45254 4
42215: 42113 3
42221: 22225 5
42222: 45212 4
42223: 45213 4
42224: 45214 4
42225: 42123 3
42231: 41531 2
42232: 22231 5
42233: 42131 3
42234: 41534 2
42235: 22234 5
42241: 22245 5
42242: 32222 1
42243: 32223 1
42244: 45234 4
42245: 45235 4
42251: 41551 2
42252: 22251 5
42253: 42151 3
42254: 42152 3
42255: 45245 4
42311: 32341 1
42312: 45352 4
42313: 45353 4
42314: 42212 3
42315: 41115 2
42321: 32351 1
42322: 45312 4
42323: 42221 3
42324: 22323 5
42325: 41125 2
42331: 45321 4
42332: 45322 4
42333: 41133 2
42334: 42232 3
42335: 45325 4
42341: 42244 3
42342: 42245 3
42343: 41143 2
42344: 22343 5
42345: 41145 2
42351: 41151 2
42352: 22351 5
42353: 32333 1
42354: 22353 5
42355: 22354 5
42411: 22415 5
42412: 32442 1
42413: 45453 4
42414: 22413 5
42415: 32445 1
42421: 42324 3
42422: 22421 5
42423: 32453 1
42424: 22423 5
42425: 45415 4
42431: 22435 5
42432: 41232 2
42433: 22432 5
42434: 45424 4
42435: 32415 1
42441: 42344 3
42442: 42345 3
42443: 22442 5
42444: 22443 5
42445: 45435 4
42451: 45441 4
42452: 45442 4
42453: 45443 4
42454: 45444 4
42455: 32435 1
42511: 22515 5
42512: 22511 5
42513: 42411 3
42514: 22513 5
42515: 32545 1
42521: 42424 3
42522: 32552 1
42523: 45513 4
42524: 42422 3
42525: 22524 5
42531: 22535 5
42532: 41332 2
42533: 32513 1
42534: 22533 5
42535: 42433 3
42541: 42444 3
42542: 32522 1
42543: 42441 3
42544: 45534 4
42545: 42443 3
42551: 41351 2
42552: 41352 2
42553: 42451 3
42554: 42452 3
42555: 41355 2
43111: 23115 5
43112: 23111 5
43113: 41153 4
43114: 33144 1
43115: 42415 2
43121: 33151 1
43122: 23121 5
43123: 23122 5
43124: 42424 2
43125: 41115 4
43131: 41121 4
43132: 23131 5
43133: 42433 2
43134: 33114 1
43135: 41125 4
43141: 42441 2
43142: 43545 3
43143: 41133 4
43144: 33124 1
43145: 41135 4
43151: 42451 2
43152: 33132 1
43153: 41143 4
43154: 23153 5
43155: 41145 4
43211: 42511 2
43212: 41252 4
43213: 43111 3
43214: 43112 3
43215: 23214 5
43221: 23225 5
43222: 43125 3
43223: 33253 1
43224: 23223 5
43225: 41215 4
43231: 41221 4
43232: 23231 5
43233: 43131 3
43234: 42534 2
43235: 23234 5
43241: 33221 1
43242: 23241 5
43243: 42543 2
43244: 43142 3
43245: 42545 2
43251: 23255 5
43252: 23251 5
43253: 33233 1
43254: 41244 4
43255: 43153 3
43311: 23315 5
43312: 41352 4
43313: 42113 2
43314: 33344 1
43315: 41355 4
43321: 43224 3
43322: 23321 5
43323: 42123 2
43324: 23323 5
43325: 42125 2
43331: 42131 2
43332: 43235 3
43333: 33313 1
43334: 23333 5
43335: 23334 5
43341: 33321 1
43342: 41332 4
43343: 42143 2
43344: 43242 3
43345: 33325 1
43351: 33331 1
43352: 23351 5
43353: 43251 3
43354: 43252 3
43355: 23354 5
43411: 23415 5
43412: 43315 3
43413: 41453 4
43414: 23413 5
43415: 33445 1
43421: 43324 3
43422: 43325 3
43423: 41413 4
43424: 43322 3
43425: 23424 5
43431: 23435 5
43432: 41422 4
43433: 41423 4
43434: 33414 1
43435: 42235 2
43441: 23445 5
43442: 23441 5
43443: 41433 4
43444: 43342 3
43445: 33425 1
43451: 41441 4
43452: 41442 4
43453: 33433 1
43454: 23453 5
43455: 41445 4
43511: 43414 3
43512: 43415 3
43513: 33543 1
43514: 23513 5
43515: 43413 3
43521: 33551 1
43522: 43425 3
43523: 41513 4
43524: 42324 2
43525: 23524 5
43531: 42331 2
43532: 42332 2
43533: 43431 3
43534: 42334 2
43535: 43433 3
43541: 23545 5
43542: 23541 5
43543: 43441 3
43544: 42344 2
43545: 23544 5
43551: 43454 3
43552: 42352 2
43553: 23552 5
43554: 42354 2
43555: 42355 2
44111: 42151 4
44112: 24111 5
44113: 43413 2
44114: 34144 1
44115: 24114 5
44121: 24125 5
44122: 34152 1
44123: 42113 4
44124: 34154 1
44125: 24124 5
44131: 43431 2
44132: 34112 1
44133: 42123 4
44134: 24133 5
44135: 42125 4
44141: 42131 4
44142: 24141 5
44143: 24142 5
44144: 42134 4
44145: 24144 5
44151: 34131 1
44152: 42142 4
44153: 42143 4
44154: 43454 2
44155: 24154 5
44211: 24215 5
44212: 44115 3
44213: 24212 5
44214: 43514 2
44215: 24214 5
44221: 34251 1
44222: 42212 4
44223: 34253 1
44224: 24223 5
44225: 34255 1
44231: 42221 4
44232: 24231 5
44233: 42223 4
44234: 43534 2
44235: 24234 5
44241: 43541 2
44242: 44145 3
44243: 43543 2
44244: 44142 3
44245: 44143 3
44251: 34231 1
44252: 44155 3
44253: 43553 2
44254: 24253 5
44255: 42245 4
44311: 43111 2
44312: 43112 2
44313: 44211 3
44314: 44212 3
44315: 42355 4
44321: 34351 1
44322: 24321 5
44323: 43123 2
44324: 44222 3
44325: 43125 2
44331: 34311 1
44332: 24331 5
44333: 34313 1
44334: 44232 3
44335: 24334 5
44341: 42331 4
44342: 44245 3
44343: 44241 3
44344: 34324 1
44345: 24344 5
44351: 44254 3
44352: 24351 5
44353: 43153 2
44354: 24353 5
44355: 24354 5
44411: 42451 4
44412: 34442 1
44413: 24412 5
44414: 24413 5
44415: 44313 3
44421: 42411 4
44422: 24421 5
44423: 42413 4
44424: 44322 3
44425: 44323 3
44431: 24435 5
44432: 44335 3
44433: 24432 5
44434: 43234 2
44435: 24434 5
44441: 42431 4
44442: 44345 3
44443: 42433 4
44444: 24443 5
44445: 34425 1
44451: 44354 3
44452: 34432 1
44453: 42443 4
44454: 42444 4
44455: 24454 5
44511: 43311 2
44512: 44415 3
44513: 34543 1
44514: 42554 4
44515: 43315 2
44521: 42511 4
44522: 43322 2
44523: 24522 5
44524: 43324 2
44525: 24524 5
44531: 44434 3
44532: 44435 3
44533: 44431 3
44534: 43334 2
44535: 43335 2
44541: 44444 3
44542: 43342 2
44543: 34523 1
44544: 24543 5
44545: 34525 1
44551: 24555 5
44552: 43352 2
44553: 42543 4
44554: 34534 1
44555: 43355 2
45111: 45514 3
45112: 35142 1
45113: 43153 4
45114: 43154 4
45115: 25114 5
45121: 43111 4
45122: 25121 5
45123: 25122 5
45124: 25123 5
45125: 35155 1
45131: 44431 2
45132: 25131 5
45133: 43123 4
45134: 44434 2
45135: 43125 4
45141: 43131 4
45142: 43132 4
45143: 25142 5
45144: 35124 1
45145: 25144 5
45151: 25155 5
45152: 35132 1
45153: 25152 5
45154: 35134 1
45155: 25154 5
45211: 43251 4
45212: 43252 4
45213: 25212 5
45214: 25213 5
45215: 45113 3
45221: 45124 3
45222: 35252 1
45223: 44523 2
45224: 45122 3
45225: 45123 3
45231: 43221 4
45232: 45135 3
45233: 35213 1
45234: 43224 4
45235: 25234 5
45241: 25245 5
45242: 45145 3
45243: 25242 5
45244: 44544 2
45245: 45143 3
45251: 44551 2
45252: 25251 5
45253: 35233 1
45254: 25253 5
45255: 45153 3
45311: 45214 3
45312: 25311 5
45313: 25312 5
45314: 45212 3
45315: 44115 2
45321: 43311 4
45322: 25321 5
45323: 45221 3
45324: 35354 1
45325: 43315 4
45331: 45234 3
45332: 45235 3
45333: 25332 5
45334: 43324 4
45335: 25334 5
45341: 45244 3
45342: 44142 2
45343: 44143 2
45344: 43334 4
45345: 45243 3
45351: 45254 3
45352: 25351 5
45353: 44153 2
45354: 45252 3
45355: 44155 2
45411: 25415 5
45412: 44212 2
45413: 45311 3
45414: 43454 4
45415: 25414 5
45421: 43411 4
45422: 45325 3
45423: 43413 4
45424: 43414 4
45425: 45323 3
45431: 35411 1
45432: 35412 1
45433: 25432 5
45434: 43424 4
45435: 44235 2
45441: 43431 4
45442: 25441 5
45443: 25442 5
45444: 25443 5
45445: 35425 1
45451: 43441 4
45452: 35432 1
45453: 25452 5
45454: 45352 3
45455: 35435 1
45511: 35541 1
45512: 45415 3
45513: 45411 3
45514: 44314 2
45515: 44315 2
45521: 45424 3
45522: 44322 2
45523: 25522 5
45524: 43514 4
45525: 45423 3
45531: 25535 5
45532: 44332 2
45533: 25532 5
45534: 25533 5
45535: 45433 3
45541: 45444 3
45542: 43532 4
45543: 45441 3
45544: 45442 3
45545: 44345 2
45551: 43541 4
45552: 43542 4
45553: 25552 5
45554: 44354 2
45555: 35535 1
51111: 31115 5
51112: 55412 2
51113: 31112 5
51114: 51512 3
51115: 54155 4
51121: 55421 2
51122: 51525 3
51123: 51521 3
51124: 54114 4
51125: 54115 4
51131: 31135 5
51132: 55432 2
51133: 31132 5
51134: 54124 4
51135: 41115 1
51141: 31145 5
51142: 54132 4
51143: 54133 4
51144: 31143 5
51145: 41125 1
51151: 51554 3
51152: 54142 4
51153: 41133 1
51154: 31153 5
51155: 54145 4
51211: 41241 1
51212: 54252 4
51213: 54253 4
51214: 31213 5
51215: 51113 3
51221: 51124 3
51222: 51125 3
51223: 31222 5
51224: 54214 4
51225: 51123 3
51231: 55531 2
51232: 54222 4
51233: 51131 3
51234: 31233 5
51235: 54225 4
51241: 54231 4
51242: 31241 5
51243: 51141 3
51244: 31243 5
51245: 31244 5
51251: 51154 3
51252: 41232 1
51253: 54243 4
51254: 55554 2
51255: 54245 4
51311: 55111 2
51312: 54352 4
51313: 41343 1
51314: 41344 1
51315: 31314 5
51321: 41351 1
51322: 54312 4
51323: 31322 5
51324: 55124 2
51325: 55125 2
51331: 55131 2
51332: 31331 5
51333: 55133 2
51334: 31333 5
51335: 54325 4
51341: 51244 3
51342: 51245 3
51343: 55143 2
51344: 55144 2
51345: 54335 4
51351: 55151 2
51352: 41332 1
51353: 31352 5
51354: 31353 5
51355: 54345 4
51411: 54451 4
51412: 54452 4
51413: 31412 5
51414: 41444 1
51415: 41445 1
51421: 31425 5
51422: 54412 4
51423: 41453 1
51424: 31423 5
51425: 54415 4
51431: 51334 3
51432: 55232 2
51433: 41413 1
51434: 31433 5
51435: 31434 5
51441: 41421 1
51442: 54432 4
51443: 31442 5
51444: 54434 4
51445: 54435 4
51451: 31455 5
51452: 31451 5
51453: 41433 1
51454: 31453 5
51455: 51353 3
51511: 31515 5
51512: 54552 4
51513: 51411 3
51514: 51412 3
51515: 55315 2
51521: 51424 3
51522: 31521 5
51523: 55323 2
51524: 31523 5
51525: 55325 2
51531: 51434 3
51532: 51435 3
51533: 41513 1
51534: 31533 5
51535: 31534 5
51541: 31545 5
51542: 55342 2
51543: 55343 2
51544: 31543 5
51545: 51443 3
51551: 41531 1
51552: 54542 4
51553: 51451 3
51554: 51452 3
51555: 55355 2
52111: 32115 5
52112: 42142 1
52113: 55153 4
52114: 32113 5
52115: 51415 2
52121: 32125 5
52122: 32121 5
52123: 55113 4
52124: 51424 2
52125: 52523 3
52131: 32135 5
52132: 52535 3
52133: 42113 1
52134: 55124 4
52135: 55125 4
52141: 55131 4
52142: 32141 5
52143: 55133 4
52144: 42124 1
52145: 55135 4
52151: 51451 2
52152: 51452 2
52153: 55143 4
52154: 52552 3
52155: 32154 5
52211: 51511 2
52212: 32211 5
52213: 52111 3
52214: 42244 1
52215: 55255 4
52221: 51521 2
52222: 55212 4
52223: 52121 3
52224: 32223 5
52225: 32224 5
52231: 52134 3
52232: 52135 3
52233: 52131 3
52234: 51534 2
52235: 55225 4
52241: 42221 1
52242: 32241 5
52243: 55233 4
52244: 55234 4
52245: 42225 1
52251: 55241 4
52252: 52155 3
52253: 32252 5
52254: 51554 2
52255: 42235 1
52311: 51111 2
52312: 32311 5
52313: 51113 2
52314: 42344 1
52315: 55355 4
52321: 52224 3
52322: 52225 3
52323: 51123 2
52324: 42354 1
52325: 55315 4
52331: 51131 2
52332: 32331 5
52333: 55323 4
52334: 32333 5
52335: 55325 4
52341: 51141 2
52342: 32341 5
52343: 32342 5
52344: 52242 3
52345: 32344 5
52351: 42331 1
52352: 55342 4
52353: 55343 4
52354: 51154 2
52355: 52253 3
52411: 42441 1
52412: 42442 1
52413: 42443 1
52414: 32413 5
52415: 32414 5
52421: 42451 1
52422: 55412 4
52423: 55413 4
52424: 32423 5
52425: 55415 4
52431: 32435 5
52432: 32431 5
52433: 42413 1
52434: 52332 3
52435: 51235 2
52441: 32445 5
52442: 55432 4
52443: 32442 5
52444: 52342 3
52445: 51245 2
52451: 55441 4
52452: 32451 5
52453: 42433 1
52454: 32453 5
52455: 55445 4
52511: 52414 3
52512: 42542 1
52513: 42543 1
52514: 55554 4
52515: 55555 4
52521: 52424 3
52522: 32521 5
52523: 51323 2
52524: 52422 3
52525: 52423 3
52531: 42511 1
52532: 32531 5
52533: 52431 3
52534: 52432 3
52535: 32534 5
52541: 32545 5
52542: 55532 4
52543: 52441 3
52544: 32543 5
52545: 52443 3
52551: 52454 3
52552: 32551 5
52553: 51353 2
52554: 51354 2
52555: 32554 5
53111: 33115 5
53112: 43142 1
53113: 52413 2
53114: 33113 5
53115: 33114 5
53121: 51111 4
53122: 52422 2
53123: 51113 4
53124: 43154 1
53125: 33124 5
53131: 52431 2
53132: 43112 1
53133: 51123 4
53134: 51124 4
53135: 33134 5
53141: 51131 4
53142: 43122 1
53143: 51133 4
53144: 33143 5
53145: 43125 1
53151: 51141 4
53152: 33151 5
53153: 33152 5
53154: 52454 2
53155: 53553 3
53211: 53114 3
53212: 53115 3
53213: 53111 3
53214: 52514 2
53215: 51255 4
53221: 43251 1
53222: 33221 5
53223: 33222 5
53224: 51214 4
53225: 33224 5
53231: 33235 5
53232: 52532 2
53233: 51223 4
53234: 33233 5
53235: 52535 2
53241: 52541 2
53242: 33241 5
53243: 53141 3
53244: 43224 1
53245: 33244 5
53251: 51241 4
53252: 52552 2
53253: 33252 5
53254: 52554 2
53255: 51245 4
53311: 52111 2
53312: 43342 1
53313: 51353 4
53314: 33313 5
53315: 33314 5
53321: 52121 2
53322: 33321 5
53323: 33322 5
53324: 53222 3
53325: 53223 3
53331: 43311 1
53332: 33331 5
53333: 51323 4
53334: 52134 2
53335: 52135 2
53341: 52141 2
53342: 53245 3
53343: 43323 1
53344: 43324 1
53345: 33344 5
53351: 53254 3
53352: 53255 3
53353: 53251 3
53354: 43334 1
53355: 33354 5
53411: 51451 4
53412: 43442 1
53413: 33412 5
53414: 51454 4
53415: 33414 5
53421: 51411 4
53422: 53325 3
53423: 51413 4
53424: 53322 3
53425: 52225 2
53431: 51421 4
53432: 33431 5
53433: 43413 1
53434: 33433 5
53435: 33434 5
53441: 33445 5
53442: 53345 3
53443: 53341 3
53444: 53342 3
53445: 43425 1
53451: 43431 1
53452: 33451 5
53453: 51443 4
53454: 33453 5
53455: 51445 4
53511: 43541 1
53512: 33511 5
53513: 43543 1
53514: 53412 3
53515: 43545 1
53521: 51511 4
53522: 51512 4
53523: 43553 1
53524: 51514 4
53525: 52325 2
53531: 53434 3
53532: 53435 3
53533: 53431 3
53534: 52334 2
53535: 33534 5
53541: 53444 3
53542: 52342 2
53543: 52343 2
53544: 33543 5
53545: 33544 5
53551: 53454 3
53552: 52352 2
53553: 52353 2
53554: 53452 3
53555: 52355 2
54111: 44141 1
54112: 44142 1
54113: 34112 5
54114: 34113 5
54115: 34114 5
54121: 52111 4
54122: 44152 1
54123: 52113 4
54124: 52114 4
54125: 44155 1
54131: 52121 4
54132: 34131 5
54133: 34132 5
54134: 53434 2
54135: 44115 1
54141: 52131 4
54142: 34141 5
54143: 54541 3
54144: 52134 4
54145: 52135 4
54151: 52141 4
54152: 53452 2
54153: 34152 5
54154: 44134 1
54155: 34154 5
54211: 54114 3
54212: 53512 2
54213: 52253 4
54214: 34213 5
54215: 54113 3
54221: 53521 2
54222: 52212 4
54223: 34222 5
54224: 44254 1
54225: 34224 5
54231: 34235 5
54232: 44212 1
54233: 53533 2
54234: 52224 4
54235: 53535 2
54241: 53541 2
54242: 54145 3
54243: 54141 3
54244: 53544 2
54245: 34244 5
54251: 34255 5
54252: 34251 5
54253: 34252 5
54254: 44234 1
54255: 54153 3
54311: 53111 2
54312: 34311 5
54313: 52353 4
54314: 53114 2
54315: 53115 2
54321: 34325 5
54322: 54225 3
54323: 34322 5
54324: 44354 1
54325: 34324 5
54331: 44311 1
54332: 52322 4
54333: 54231 3
54334: 44314 1
54335: 52325 4
54341: 53141 2
54342: 44322 1
54343: 34342 5
54344: 52334 4
54345: 34344 5
54351: 34355 5
54352: 54255 3
54353: 53153 2
54354: 54252 3
54355: 54253 3
54411: 52451 4
54412: 52452 4
54413: 34412 5
54414: 52454 4
54415: 34414 5
54421: 34425 5
54422: 54325 3
54423: 53223 2
54424: 52414 4
54425: 44455 1
54431: 53231 2
54432: 34431 5
54433: 52423 4
54434: 52424 4
54435: 34434 5
54441: 52431 4
54442: 52432 4
54443: 34442 5
54444: 52434 4
54445: 54343 3
54451: 52441 4
54452: 34451 5
54453: 52443 4
54454: 54352 3
54455: 44435 1
54511: 34515 5
54512: 54415 3
54513: 54411 3
54514: 53314 2
54515: 53315 2
54521: 34525 5
54522: 53322 2
54523: 54421 3
54524: 52514 4
54525: 53325 2
54531: 54434 3
54532: 53332 2
54533: 34532 5
54534: 54432 3
54535: 54433 3
54541: 34545 5
54542: 54445 3
54543: 44523 1
54544: 34543 5
54545: 53345 2
54551: 52541 4
54552: 34551 5
54553: 54451 3
54554: 54452 3
54555: 53355 2
55111: 35115 5
55112: 53152 4
55113: 55511 3
55114: 55512 3
55115: 45145 1
55121: 53111 4
55122: 35121 5
55123: 45153 1
55124: 53114 4
55125: 35124 5
55131: 35135 5
55132: 54432 2
55133: 35132 5
55134: 45114 1
55135: 35134 5
55141: 55544 3
55142: 45122 1
55143: 35142 5
55144: 35143 5
55145: 54445 2
55151: 53141 4
55152: 45132 1
55153: 35152 5
55154: 53144 4
55155: 45135 1
55211: 45241 1
55212: 35211 5
55213: 55111 3
55214: 53254 4
55215: 53255 4
55221: 55124 3
55222: 55125 3
55223: 45253 1
55224: 45254 1
55225: 35224 5
55231: 35235 5
55232: 53222 4
55233: 54533 2
55234: 35233 5
55235: 55133 3
55241: 55144 3
55242: 54542 2
55243: 45223 1
55244: 53234 4
55245: 55143 3
55251: 35255 5
55252: 53242 4
55253: 55151 3
55254: 45234 1
55255: 35254 5
55311: 45341 1
55312: 35311 5
55313: 54113 2
55314: 54114 2
55315: 35314 5
55321: 35325 5
55322: 45352 1
55323: 35322 5
55324: 53314 4
55325: 53315 4
55331: 55234 3
55332: 53322 4
55333: 54133 2
55334: 35333 5
55335: 55233 3
55341: 45321 1
55342: 53332 4
55343: 35342 5
55344: 55242 3
55345: 54145 2
55351: 35355 5
55352: 55255 3
55353: 54153 2
55354: 35353 5
55355: 35354 5
55411: 45441 1
55412: 53452 4
55413: 35412 5
55414: 53454 4
55415: 35414 5
55421: 35425 5
55422: 53412 4
55423: 45453 1
55424: 35423 5
55425: 55323 3
55431: 35435 5
55432: 35431 5
55433: 54233 2
55434: 45414 1
55435: 45415 1
55441: 35445 5
55442: 53432 4
55443: 45423 1
55444: 53434 4
55445: 53435 4
55451: 53441 4
55452: 55355 3
55453: 45433 1
55454: 53444 4
55455: 54255 2
55511: 35515 5
55512: 54312 2
55513: 35512 5
55514: 55412 3
55515: 55413 3
55521: 55424 3
