11111: ----- -
13521: 43525 5
13522: 13425 3
13523: 43522 5
13524: 11514 4
13525: 12325 2
13531: 13434 3
13532: 12332 2
13533: 12333 2
13534: 13432 3
13535: 13433 3
13541: 53521 1
13542: 43541 5
13543: 43542 5
13544: 13442 3
13545: 12345 2
13551: 43555 5
13552: 13455 3
13553: 53533 1
13554: 43553 5
13555: 12355 2
14111: 12151 4
14112: 12152 4
14113: 44112 5
14114: 54144 1
14115: 54145 1
14121: 44125 5
14122: 12112 4
14123: 54153 1
14124: 12114 4
14125: 54155 1
14131: 12121 4
14132: 13432 2
14133: 54113 1
14134: 12124 4
14135: 44134 5
14141: 44145 5
14142: 12132 4
14143: 44142 5
14144: 12134 4
14145: 12135 4
14151: 44155 5
14152: 54132 1
14153: 44152 5
14154: 44153 5
14155: 13455 2
14211: 44215 5
14212: 44211 5
14213: 14111 3
14214: 14112 3
14215: 13515 2
14221: 54251 1
14222: 54252 1
14223: 44222 5
14224: 44223 5
14225: 54255 1
14231: 14134 3
14232: 12222 4
14233: 44232 5
14234: 12224 4
14235: 44234 5
14241: 44245 5
14242: 13542 2
14243: 14141 3
14244: 13544 2
14245: 14143 3
14251: 12241 4
14252: 12242 4
14253: 14151 3
14254: 13554 2
14255: 44254 5
14311: 44315 5
14312: 13112 2
14313: 13113 2
14314: 14212 3
14315: 44314 5
14321: 54351 1
14322: 54352 1
14323: 12313 4
14324: 13124 2
14325: 14223 3
14331: 44335 5
14332: 54312 1
14333: 44332 5
14334: 14232 3
14335: 14233 3
14341: 44345 5
14342: 12332 4
14343: 14241 3
14344: 14242 3
14345: 54325 1
14351: 13151 2
14352: 14255 3
14353: 44352 5
14354: 14252 3
14355: 44354 5
14411: 14314 3
14412: 12452 4
14413: 54443 1
14414: 44413 5
14415: 13215 2
14421: 54451 1
14422: 12412 4
14423: 14321 3
14424: 12414 4
14425: 14323 3
14431: 44435 5
14432: 12422 4
14433: 14331 3
14434: 44433 5
14435: 44434 5
14441: 54421 1
14442: 44441 5
14443: 14341 3
14444: 12434 4
14445: 44444 5
14451: 44455 5
14452: 14355 3
14453: 54433 1
14454: 12444 4
14455: 12445 4
14511: 14414 3
14512: 13312 2
14513: 13313 2
14514: 54544 1
14515: 12555 4
14521: 44525 5
14522: 12512 4
14523: 12513 4
14524: 14422 3
14525: 13325 2
14531: 13331 2
14532: 14435 3
14533: 14431 3
14534: 44533 5
14535: 13335 2
14541: 14444 3
14542: 14445 3
14543: 13343 2
14544: 13344 2
14545: 44544 5
14551: 44555 5
14552: 14455 3
14553: 13353 2
14554: 12544 4
14555: 12545 4
15111: 15514 3
15112: 15515 3
15113: 55143 1
15114: 45113 5
15115: 13155 4
15121: 55151 1
15122: 13112 4
15123: 45122 5
15124: 45123 5
15125: 45124 5
15131: 45135 5
15132: 15535 3
15133: 15531 3
15134: 13124 4
15135: 14435 2
15141: 45145 5
15142: 13132 4
15143: 13133 4
15144: 14444 2
15145: 55125 1
15151: 45155 5
15152: 45151 5
15153: 55133 1
15154: 45153 5
15155: 55135 1
15211: 15114 3
15212: 13252 4
15213: 45212 5
15214: 55244 1
15215: 13255 4
15221: 15124 3
15222: 15125 3
15223: 13213 4
15224: 14524 2
15225: 15123 3
15231: 14531 2
15232: 13222 4
15233: 15131 3
15234: 15132 3
15235: 13225 4
